School,Journal,Article,Author,Year,Volume
Stanford University,Journal of Marketing,User-Generated Physician Ratings and Their Effects on Patients’ Physician Choices: Evidence from Yelp,"Yiwei Chen - Stanford University
Stephanie Lee - University of Washington at Seattle",2024,88
Stanford University,Management Science,Deep Learning in Asset Pricing,"Luyang Chen - Stanford University
Markus Pelger - Stanford University
Jason Zhu - Stanford University",2024,70
Stanford University,Organization Science,Legitimating Illegitimate Practices: How Data Analysts Compromised Their Standards to Promote Quantification,"Ryan Stice-Lusvardi - Stanford University
Pamela J Hinds - Stanford University
Melissa Valentine - Stanford University",2024,35
Stanford University,Operations Research,Technical Note—An Improved Analysis of LP-Based Control for Revenue Management,"Xiaocheng Li - Imperial College London
Yinyu Ye - Stanford University
Guanting Chen - University of North Carolina at Chapel Hill",2024,72
Stanford University,Journal of Financial Economics,"Tiny trades, big questions: Fractional shares","Justin McCrary - Columbia University
Maureen O'Hara - Cornell University
Robert P Bartlett - Stanford University",2024,157
Stanford University,Operations Research,Two-Stage Stochastic Matching and Pricing with Applications to Ride Hailing,"Yiding Feng - Microsoft Research
Amin Saberi - Stanford University
Rad Niazadeh - University of Chicago",2024,72
Stanford University,Strategic Management Journal,How does worker mobility affect business adoption of a new technology? The case of machine learning,"Chris Forman - Cornell University
Ruyu Chen - Stanford University
Natarajan Balasubramanian - Syracuse University",2024,45
Stanford University,Management Science,Debtors at Play: Gaming Behavior and Consumer Credit Risk,"Wensi Xie - The Chinese University of Hong Kong (CUHK), Shatin
Ross Levine - Stanford University
Chen Lin - University of Hong Kong
Shuaishuai Gong - University of Macau",2024,70
Stanford University,Management Science,When Should Control Be Shared?,"Eva M Meyersson Milgrom - Stanford University
Paul Milgrom - Stanford University
Ravi Singh - Untapped Resources, Inc.",2023,69
Stanford University,Organization Science,Learning in Temporary Teams: The Varying Effects of Partner Exposure by Team Member Role,"Song-Hee Kim - Seoul National University (SNU)
Melissa A Valentine - Stanford University
Hummy Song - University of Pennsylvania",2023,34
Stanford University,Organization Science,In Institutions We Trust? Trust in Government and the Allocation of Entrepreneurial Intentions,"Charles Eesley - Stanford University
Yong Suk Lee - University of Notre Dame",2023,34
Stanford University,Operations Research,Distributionally Robust Losses for Latent Covariate Mixtures,"Hongseok Namkoong - Columbia University
John Duchi - Stanford University
Tatsunori Hashimoto - Stanford University",2023,71
Stanford University,Strategic Management Journal,"Innovation and profitability following antitrust intervention against a dominant platform: The wild, wild west?","Riitta Katila - Stanford University
Sruthi Thatchenkery - Vanderbilt University",2023,44
Stanford University,Manufacturing and Service Operations Management,The Design of Optimal Pay-as-Bid Procurement Mechanisms,"Je-ok Choi - Stanford University
Daniela Saban - Stanford University
Gabriel Weintraub - Stanford University",2023,25
Stanford University,Organization Science,"Anchored Inferential Learning: Platform-Specific Uncertainty, Venture Capital Investments by the Platform Owner, and the Impact on Complementors","Arvind Karunakaran - Stanford University
Joey van Angeren - Vrije Universiteit Amsterdam / VU University Amsterdam / Free University",2023,34
Stanford University,Management Science,Manufacturing Productivity with Worker Turnover,"James Chu - Columbia University
Prashant Loyalka - Stanford University
Ellen A Eisen - University of California at Berkeley
Patrick Bergemann - University of California at Irvine
Ken Moon - University of Pennsylvania
Gregory M Fischer - Boston Consulting Group, Inc.
Andrew Chen - Apple Inc.
Joshua Cohen - Apple University
Daniel Brown - Elevance Health
Sungmin Rho - Graduate Institute of International and Development Studies",2023,69
Stanford University,Management Science,Taming the Communication and Computation Complexity of Combinatorial Auctions: The FUEL Bid Language,"Paul Milgrom - Stanford University
Martin Bichler - Technische Universitat Munchen / Technical University of Munich (TUM)
Gregor Schwarz - Technische Universitat Munchen / Technical University of Munich (TUM)",2023,69
Stanford University,Journal on Computing,Online Routing Over Parallel Networks: Deterministic Limits and Data-driven Enhancements,"Dario Paccagnan - Imperial College London
Devansh Jalota - Stanford University
Marco Pavone - Stanford University
Maximilian Schiffer - Technische Universitat Munchen / Technical University of Munich (TUM)",2023,35
Stanford University,Organization Science,Who Pays the Cancer Tax? Patients’ Narratives in a Movement to Reduce Their Invisible Work,"Melissa A Valentine - Stanford University
Stephen M Asch - Stanford University
Esther Ahn - YouTube",2023,34
Stanford University,Operations Research,Sequential Submodular Maximization and Applications to Ranking an Assortment of Products,"Arash Asadpour - City University of New York, Baruch College
Amin Saberi - Stanford University
Rad Niazadeh - University of Chicago
Ali Shameli - Facebook",2023,71
Stanford University,Operations Research,Technical Note—The Elliptical Potential Lemma for General Distributions with an Application to Linear Thompson Sampling,"Nima Hamidi - Stanford University
Mohsen Bayati - Stanford University",2023,71
